,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
38371,0.0714562102,29651.0909371478,16872386.74719844,24.6,0
38374,0.0392681082,79221.2708823786,2172160.384249798,25.9,0
38376,0.4875733714,45898.1612513593,45483406.7110141,20.43,1
38378,0.0326617897,49887.498294837,72808595.388235,26.3,0
38383,0.5675968529,30629.9261197177,10903012.875122229,20.1,1
38385,0.0411187571,17265.5436713848,2793591.028294249,25.8,0
38394,0.0375007522,33248.3380456109,441043.064033596,26.0,0
38395,0.1425738833,13171.1558572129,42046024.94424224,23.1,0
38397,0.0311917671,65162.0025412232,50008347.74405154,26.4,0
38401,0.0859092601,77066.2755117936,73278797.06678328,24.2,0
38408,0.2477650126,33329.9531292931,8464652.730270043,21.9,1
38415,0.9863702813,56186.498833065,57512626.65428791,18.9,0
38418,0.1636967205,74301.6715586006,10770051.993681945,22.8,0
38422,0.0542050786,18114.5164040679,14741207.816807708,25.2,0
38425,0.0682401509,27816.6941412396,21237270.745235264,24.7,0
38434,0.6824015094,79752.0453715433,25540224.41152672,19.7,1
38439,0.1203483052,7862.1335337872,32080001.40834591,23.468,0
38444,0.5176544822,46322.4131993617,9015273.481477832,20.3,0
38447,0.0142573883,56334.8248901766,67090909.89441673,28.1,0
38458,0.0271668934,32410.3732084898,9822887.635649696,26.7,0
38469,0.0748238376,23720.8743584114,12218506.696656724,24.5,0
38472,0.0567596853,70813.5742936357,64170097.99511495,25.1,0
38473,0.5176544822,104935.6588303112,37649523.04742645,20.3,0
38484,0.0247765013,34252.7099991813,3622528.219585072,26.9,0
38497,0.1636967205,104701.1736582828,66848278.54520328,22.8,0
38499,0.2366137501,66646.2685863298,69148163.42168996,22.0,0
38506,0.0130028927,73593.7775372923,55915733.41992627,28.3,0
38518,0.411187571,62699.8359348104,45435648.51852339,20.8,0
38520,0.6824015094,53804.5186083149,61639869.81325555,19.7,0
38522,0.0494356193,50517.3991244116,52979331.35811989,25.4,0
38524,0.7727517171,9809.5580985069,56299408.34869717,19.43,0
38526,2.5944181791,69350.8568617699,25813935.66069925,16.8,1
38532,0.5943468684,64021.9591705525,27913269.10907139,20.0,0
38533,0.5943468684,51000.8689977952,15023827.080586404,20.0,0
38538,0.0783501764,21335.4169909357,40924173.13383974,24.4,0
38545,0.0359782453,60077.7259968114,68058612.63378,26.09,0
